                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.02853,                0.99174,                0.99988,                 2.4972,               0.002278,               0.002278,               0.002278
                    120,                0.03101,                0.99179,                0.99988,                 2.4972,               0.002212,               0.002212,               0.002212
                    121,                0.02967,                0.99179,                 0.9999,                 2.4972,               0.002146,               0.002146,               0.002146
                    122,                0.02776,                0.99184,                0.99988,                 2.4971,                0.00208,                0.00208,                0.00208
                    123,                0.02907,                0.99182,                0.99985,                 2.4971,               0.002014,               0.002014,               0.002014
                    124,                0.02658,                0.99182,                0.99985,                 2.4972,               0.001948,               0.001948,               0.001948
                    125,                0.02475,                0.99179,                 0.9998,                 2.4972,               0.001882,               0.001882,               0.001882
                    126,                0.02735,                0.99179,                 0.9998,                 2.4971,               0.001816,               0.001816,               0.001816
                    127,                0.02267,                0.99172,                0.99978,                 2.4972,                0.00175,                0.00175,                0.00175
                    128,                0.02314,                0.99164,                 0.9997,                 2.4973,               0.001684,               0.001684,               0.001684
                    129,                0.02547,                0.99162,                0.99968,                 2.4972,               0.001618,               0.001618,               0.001618
                    130,                0.02364,                0.99145,                0.99968,                 2.4972,               0.001552,               0.001552,               0.001552
                    131,                0.02157,                0.99142,                0.99973,                 2.4972,               0.001486,               0.001486,               0.001486
                    132,                0.02238,                0.99142,                0.99973,                 2.4973,                0.00142,                0.00142,                0.00142
                    133,                0.02148,                0.99142,                0.99975,                 2.4973,               0.001354,               0.001354,               0.001354
                    134,                0.01959,                0.99145,                 0.9998,                 2.4972,               0.001288,               0.001288,               0.001288
                    135,                0.01815,                0.99147,                 0.9998,                 2.4973,               0.001222,               0.001222,               0.001222
                    136,                0.01988,                0.99157,                0.99983,                 2.4974,               0.001156,               0.001156,               0.001156
                    137,                0.01894,                0.99159,                0.99985,                 2.4972,                0.00109,                0.00109,                0.00109
                    138,                0.01799,                0.99172,                0.99985,                 2.4972,               0.001024,               0.001024,               0.001024
                    139,                0.01698,                0.99169,                0.99985,                 2.4971,               0.000958,               0.000958,               0.000958
